name,SMILES,PubChem
"1,6,7-Trimethylnaphthalene",CC1=C2C=C(C(=CC2=CC=C1)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/16732
"2,2,3-Trimethylhexane",CCCC(C)C(C)(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/28021
Benzo(B)Fluoranthene,C1=CC=C2C3=C4C(=CC=C3)C5=CC=CC=C5C4=CC2=C1,https://pubchem.ncbi.nlm.nih.gov/compound/9153
Anthracene,C1=CC=C2C=C3C=CC=CC3=CC2=C1,https://pubchem.ncbi.nlm.nih.gov/compound/8418
Acenaphthylene,C1=CC2=C3C(=C1)C=CC3=CC=C2,https://pubchem.ncbi.nlm.nih.gov/compound/9161
"1,2,7-Trimethylnaphthalene",CC1=CC2=C(C=C1)C=CC(=C2C)C,https://pubchem.ncbi.nlm.nih.gov/compound/101297
"2,5,5-Trimethylheptane",CCC(C)(C)CCC(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/14478
"3,3-Dimethylheptane",CCCCC(C)(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/520991
"2,4-Dimethylheptane",CCCC(C)CC(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/16656
"1,3,5-Trimethylnaphthalene",CC1=C2C=C(C=C(C2=CC=C1)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/75043
"Octane, 4,4-dimethyl-",CCCCC(C)(C)CCC,https://pubchem.ncbi.nlm.nih.gov/compound/85151
"7,12-Dimethylbenz[a]anthracene",CC1=C2C=CC3=CC=CC=C3C2=C(C4=CC=CC=C14)C,https://pubchem.ncbi.nlm.nih.gov/compound/6001
3-Ethyl-4-methylhexane,CCC(C)C(CC)CC,https://pubchem.ncbi.nlm.nih.gov/compound/18314
"Heptane, 5-ethyl-2-methyl-",CCC(CC)CCC(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/26056
"3,4,5-Trimethylheptane",CCC(C)C(C)C(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/89304
"3-Ethyl-2,5-dimethylhexane",CCC(CC(C)C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/521421
4-Methyloctane,CCCCC(C)CCC,https://pubchem.ncbi.nlm.nih.gov/compound/16665
"2,7-Dimethyloctane",CC(C)CCCCC(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/14070
"1,4,6-Trimethylnaphthalene",CC1=CC2=C(C=CC(=C2C=C1)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/16479
2-Methylnaphthalene,CC1=CC2=CC=CC=C2C=C1,https://pubchem.ncbi.nlm.nih.gov/compound/7055
"1,2,4-Trimethylbenzene",CC1=CC(=C(C=C1)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/7247
"1,6-Dimethylnaphthalene",CC1=CC2=CC=CC(=C2C=C1)C,https://pubchem.ncbi.nlm.nih.gov/compound/11328
"2,3,4-Trimethylheptane",CCCC(C)C(C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/93280
"1,4-Dimethylnaphthalene",CC1=CC=C(C2=CC=CC=C12)C,https://pubchem.ncbi.nlm.nih.gov/compound/11304
"2,7-Dimethylnaphthalene",CC1=CC2=C(C=C1)C=CC(=C2)C,https://pubchem.ncbi.nlm.nih.gov/compound/11396
"2,2,4-Trimethylheptane",CCCC(C)CC(C)(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/26839
"2,4,4-Trimethylhexane",CCC(C)(C)CC(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/28024
"4,5-Dimethyloctane",CCCC(C)C(C)CCC,https://pubchem.ncbi.nlm.nih.gov/compound/139990
5-Methylnonane,CCCCC(C)CCCC,https://pubchem.ncbi.nlm.nih.gov/compound/27518
"3,5-Dimethyl-4-(propan-2-yl)heptane",CCC(C)C(C(C)C)C(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/53424941
"Heptane, 2,3,6-trimethyl-",CC(C)CCC(C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/19944
"2,3-Dimethylheptane",CCCCC(C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/26375
