name,SMILES,PubChem
 Gum Tragacanth,CC.CC.CC.CC.CC,https://pubchem.ncbi.nlm.nih.gov/compound/54172484
 Sodium Benzoate,C1=CC=C(C=C1)C(=O)[O-].[Na+],https://pubchem.ncbi.nlm.nih.gov/compound/517055
 Benzoic Acid,C1=CC=C(C=C1)C(=O)O,https://pubchem.ncbi.nlm.nih.gov/compound/243
 Propyl Paraben,CCCOC(=O)C1=CC=C(C=C1)O,https://pubchem.ncbi.nlm.nih.gov/compound/7175
 Methyl Paraben,COC(=O)C1=CC=C(C=C1)O,https://pubchem.ncbi.nlm.nih.gov/compound/7456
 Sorbitol,C(C(C(C(C(CO)O)O)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/5780
 Mannitol,C(C(C(C(C(CO)O)O)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/6251
 Propyl Gallate,CCCOC(=O)C1=CC(=C(C(=C1)O)O)O,https://pubchem.ncbi.nlm.nih.gov/compound/4947
 Sulfur dioxide,O=S=O,https://pubchem.ncbi.nlm.nih.gov/compound/1119
 Sodium sulfite,[O-]S(=O)[O-].[Na+].[Na+],https://pubchem.ncbi.nlm.nih.gov/compound/24437
 Sodium metabisulfite,[O-]S(=O)S(=O)(=O)[O-].[Na+].[Na+],https://pubchem.ncbi.nlm.nih.gov/compound/656671
 Sodium bisulfite,OS(=O)[O-].[Na+],https://pubchem.ncbi.nlm.nih.gov/compound/23665763
 Potassium metabisulfite,[O-]S(=O)S(=O)(=O)[O-].[K+].[K+],https://pubchem.ncbi.nlm.nih.gov/compound/28019
 p-Hydroxybenzyl isothiocyanate,C1=CC(=CC=C1CN=C=S)O,https://pubchem.ncbi.nlm.nih.gov/compound/160611
 Allyl isothiocyanate,C=CCN=C=S,https://pubchem.ncbi.nlm.nih.gov/compound/5971
 Caramel,CC1CC(C(=O)C1=O)C,https://pubchem.ncbi.nlm.nih.gov/compound/61634
 Zinc sulfate,[O-]S(=O)(=O)[O-].[Zn+2],https://pubchem.ncbi.nlm.nih.gov/compound/24424
 Zinc oxide,O=[Zn],https://pubchem.ncbi.nlm.nih.gov/compound/14806
 Zinc chloride,Cl[Zn]Cl,https://pubchem.ncbi.nlm.nih.gov/compound/5727
 Zinc carbonate,C(=O)([O-])[O-].[Zn+2],https://pubchem.ncbi.nlm.nih.gov/compound/19005
